Frequency [kHz],Power [dbm]
841996,-135.12957010077469
842000,-139.65892184174004
842004,-134.3905236053489
842008,-134.0109574790652
842012,-132.2356188635638
842016,-138.73478089163203
842020,-132.82248470572645
842024,-141.42633627510298
842028,-136.00897562776885
842032,-150.56012966209096
842036,-133.68917112854143
842040,-138.0346402606129
842044,-135.4460745503533
842048,-141.2662270683126
842052,-136.04345111054897
842056,-129.56085148773525
842060,-143.90823408526637
842064,-139.3253437858927
842068,-136.66827942134407
842072,-141.23719889843417
842076,-137.30334064978155
842080,-143.95709783224734
842084,-131.6439380228587
842088,-132.34090066004035
842092,-130.16034744106128
842096,-140.98734386611648
842100,-150.22635839542443
842104,-135.46407292523367
842108,-143.7159092912294
842112,-133.97943919466414
842116,-139.5733820189433
842120,-137.82665900271985
842124,-141.97670648267518
842128,-138.54266133835011
842132,-133.36358105061083
842136,-133.13732792798584
842140,-142.2447113501151
842144,-132.508741691531
842148,-135.36712275906962
842152,-139.06207474331848
842156,-150.822913599078
842160,-135.28110813048335
842164,-133.01196652021608
842168,-136.5270723047721
842172,-139.99841174252782
842176,-144.12514103941805
842180,-144.29254380550975
842184,-137.51472597131
842188,-136.3672897095213
842192,-128.71892345974928
842196,-133.93990843145357
842200,-135.90379936329472
842204,-137.60202973775765
842208,-146.79065165702002
842212,-140.90376314512218
842216,-139.32486618607294
842220,-145.48744156918667
842224,-134.98359484907724
842228,-138.56294675631304
842232,-143.55734568475157
842236,-133.0470982188083
842240,-140.87828213768984
842244,-132.46175794436365
842248,-142.3916980548368
842252,-136.81401094110225
842256,-142.69087574163004
842260,-137.85738677844603
842264,-135.13786411011202
842268,-134.51768976708496
842272,-131.0300231940741
842276,-133.10578410484842
842280,-132.79778926063477
842284,-138.60641814408066
842288,-135.63385537923435
842292,-136.76128892572413
842296,-136.05547876705987
842300,-146.01007951080777
842304,-128.60755812691835
842308,-138.26123792957281
842312,-134.51090643352032
842316,-133.37549784593625
842320,-148.5784497138877
842324,-137.03190554061968
842328,-152.14045665466455
842332,-133.65250790116391
842336,-141.35591299986095
842340,-139.03387203542087
842344,-136.09962683601935
842348,-135.4123741562272
842352,-136.34655636492226
842356,-145.93165651748558
842360,-133.64315257093017
842364,-143.22751490408479
842368,-137.95841465764792
842372,-135.01932225329526
842376,-145.56587278619727
842380,-138.18629373198655
842384,-145.17177017570913
842388,-143.7581800580033
842392,-133.39474907631495
842396,-149.363356469822
842400,-136.86834860707927
